"site_id","AmpRatio","PhaseLag_d","Ratio_Mean","TS__Slope","AdjRsqr","YInt","max_conseq_missing_days","year"
"12447200",0.27,102.12,-0.02,0.64,0.83,4.6,1,"2021"
"12447302",0.29,106.42,-0.06,0.65,0.82,3.86,1,"2021"
"12447390",0.14,22.62,0.14,0.41,0.78,2.76,1,"2021"
"12450480",0.3,27.83,0.29,0.61,0.88,3.29,1,"2021"
"12462500",0.3,29.27,0.29,0.59,0.9,3.78,1,"2021"
"13334300",0.41,106.6,-0.05,0.42,0.72,9.2,1,"2021"
"13343595",0.62,-37.91,-0.4,0.26,0.52,12.27,1,"2021"
"13343860",0.57,-37.04,-0.32,0.19,0.51,13.74,1,"2021"
"13352600",0.66,126.11,-0.3,0.21,0.62,13.56,1,"2021"
"13353010",1.08,72.66,-1.2,0.25,0.67,12.96,1,"2021"
"14019240",1.12,31.3,1.92,0.31,0.64,12.11,1,"2021"
"454249120423500",0.89,-49.1,-0.48,0.25,0.57,13.45,3,"2021"
